_input,_num,_widgetName,_source,_resultNumber,_pageUrl,name,price,image,image/_source,image/_title,image/_alt
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,1,final amazon,final amazon,1,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,Mi Redmi 2 Prime 4G (16GB White),6999.00,http://ecx.images-amazon.com/images/I/41LaQQ0eNiL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,25,final amazon,final amazon,1,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,Mi Redmi 2 Prime 4G (16GB White),6999.00,http://ecx.images-amazon.com/images/I/41LaQQ0eNiL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=3&rh=n%3A976419031%2Ck%3Asmartphones|,49,final amazon,final amazon,1,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=3&rh=n%3A976419031%2Ck%3Asmartphones,Samsung Galaxy Core Prime SM-G360 (White 8GB),7379.00,http://ecx.images-amazon.com/images/I/31ENeY0FIIL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=2&rh=n%3A976419031%2Ck%3Asmartphones|,73,final amazon,final amazon,1,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=2&rh=n%3A976419031%2Ck%3Asmartphones,Micromax Unite 3 Q372 (White 8GB),6100.00,http://ecx.images-amazon.com/images/I/41DU8kioEXL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=5&rh=n%3A976419031%2Ck%3Asmartphones|,97,final amazon,final amazon,1,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=5&rh=n%3A976419031%2Ck%3Asmartphones,HTC Desire 826 (16GB White Birch),24999.00,http://ecx.images-amazon.com/images/I/511uRgevELL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,2,final amazon,final amazon,2,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,YU Yuphoria on Android (Buffed Steel),6499.00,http://ecx.images-amazon.com/images/I/41P0voeep-L._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,26,final amazon,final amazon,2,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,YU Yuphoria on Android (Buffed Steel),6499.00,http://ecx.images-amazon.com/images/I/41P0voeep-L._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=3&rh=n%3A976419031%2Ck%3Asmartphones|,50,final amazon,final amazon,2,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=3&rh=n%3A976419031%2Ck%3Asmartphones,iPro 20800mAh powerbank for Tablets and Smartphones-Grey,1999.00,http://ecx.images-amazon.com/images/I/51Dtj622Y9L._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=2&rh=n%3A976419031%2Ck%3Asmartphones|,74,final amazon,final amazon,2,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=2&rh=n%3A976419031%2Ck%3Asmartphones,Rock Flat Micro-USB Cable for Smartphones (Yellow),160.00,http://ecx.images-amazon.com/images/I/41%2BCuyggHwL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=5&rh=n%3A976419031%2Ck%3Asmartphones|,98,final amazon,final amazon,2,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=5&rh=n%3A976419031%2Ck%3Asmartphones,AV Connect Smartphone Headset to PC Adapter - Use a 3.5mm smartphone Headset with Your PC Converts 3.5mm Plug...,249.00,http://ecx.images-amazon.com/images/I/41ehTJTjfPL._AA160_.jpg,,,Product Details
