_input,_num,_widgetName,_source,_resultNumber,_pageUrl,name,price
,1,infibeam Result Data,infibeam Result Data,1,http://www.infibeam.com/Mobiles/search,Apple iPhone 6S (16GB) Space Grey,Rs. 62000
,2,infibeam Result Data,infibeam Result Data,2,http://www.infibeam.com/Mobiles/search,Apple iPhone 6S (64GB) Gold,Rs. 72000
,3,infibeam Result Data,infibeam Result Data,3,http://www.infibeam.com/Mobiles/search,Apple iPhone 6S (64GB) Space Grey,Rs. 72000
,4,infibeam Result Data,infibeam Result Data,4,http://www.infibeam.com/Mobiles/search,Apple iPhone 6S (64GB) Rose Gold,Rs. 72000
,5,infibeam Result Data,infibeam Result Data,5,http://www.infibeam.com/Mobiles/search,Apple iPhone 6S (128GB) Silver,Rs. 82000
,6,infibeam Result Data,infibeam Result Data,6,http://www.infibeam.com/Mobiles/search,Apple iPhone 6S (16GB) Gold,Rs. 62000
,7,infibeam Result Data,infibeam Result Data,7,http://www.infibeam.com/Mobiles/search,Apple iPhone 6S (16GB) Silver,Rs. 62000
,8,infibeam Result Data,infibeam Result Data,8,http://www.infibeam.com/Mobiles/search,Apple iPhone 6S (128GB) Rose Gold,Rs. 82000
,9,infibeam Result Data,infibeam Result Data,9,http://www.infibeam.com/Mobiles/search,Apple iPhone 6S (128GB) Gold,Rs. 82000
,10,infibeam Result Data,infibeam Result Data,10,http://www.infibeam.com/Mobiles/search,Apple iPhone 6S (16GB) Rose Gold,Rs. 62000
,11,infibeam Result Data,infibeam Result Data,11,http://www.infibeam.com/Mobiles/search,Apple iPhone 6S (64GB) Silver,Rs. 72000
,12,infibeam Result Data,infibeam Result Data,12,http://www.infibeam.com/Mobiles/search,Apple iPhone 6S (128GB) Space Grey,Rs. 82000
,13,infibeam Result Data,infibeam Result Data,13,http://www.infibeam.com/Mobiles/search,Apple iPhone 6S Plus 64GB Silver,Rs. 82000
,14,infibeam Result Data,infibeam Result Data,14,http://www.infibeam.com/Mobiles/search,Apple iPhone 6S Plus 16GB Space Grey,Rs. 72000
,15,infibeam Result Data,infibeam Result Data,15,http://www.infibeam.com/Mobiles/search,Apple iPhone 6S Plus 128GB Rose Gold,Rs. 92000
,16,infibeam Result Data,infibeam Result Data,16,http://www.infibeam.com/Mobiles/search,Apple iPhone 6S Plus 16GB Silver,Rs. 72000
,17,infibeam Result Data,infibeam Result Data,17,http://www.infibeam.com/Mobiles/search,Apple iPhone 6S Plus 16GB Rose Gold,Rs. 72000
,18,infibeam Result Data,infibeam Result Data,18,http://www.infibeam.com/Mobiles/search,Apple iPhone 6S Plus 128GB Gold,Rs. 92000
,19,infibeam Result Data,infibeam Result Data,19,http://www.infibeam.com/Mobiles/search,Apple iPhone 6S Plus 16GB Gold,Rs. 72000
,20,infibeam Result Data,infibeam Result Data,20,http://www.infibeam.com/Mobiles/search,Apple iPhone 6S Plus 64GB Gold,Rs. 82000
,21,infibeam Result Data,infibeam Result Data,21,http://www.infibeam.com/Mobiles/search?page=2,Apple iPhone 6S Plus 64GB Space Grey,Rs. 82000
,22,infibeam Result Data,infibeam Result Data,22,http://www.infibeam.com/Mobiles/search?page=2,Apple iPhone 6S Plus 128GB Space Grey,Rs. 92000
,23,infibeam Result Data,infibeam Result Data,23,http://www.infibeam.com/Mobiles/search?page=2,Apple iPhone 6S Plus 64GB Rose Gold,Rs. 82000
,24,infibeam Result Data,infibeam Result Data,24,http://www.infibeam.com/Mobiles/search?page=2,Apple iPhone 6S Plus 128GB Silver,Rs. 92000
,25,infibeam Result Data,infibeam Result Data,25,http://www.infibeam.com/Mobiles/search?page=2,Micromax Canvas Juice 2 AQ5001 (Silver),Rs. 7499
,26,infibeam Result Data,infibeam Result Data,26,http://www.infibeam.com/Mobiles/search?page=2,Unboxed Xiaomi Mi 4i (Grey),Rs. 10222
,27,infibeam Result Data,infibeam Result Data,27,http://www.infibeam.com/Mobiles/search?page=2,Xiaomi Mi 4i Unboxed (White),Rs. 10222
,28,infibeam Result Data,infibeam Result Data,28,http://www.infibeam.com/Mobiles/search?page=2,Lenovo A7000 (White),Rs. 10590
,29,infibeam Result Data,infibeam Result Data,29,http://www.infibeam.com/Mobiles/search?page=2,Lenovo A7000 (Black),Rs. 9849
,30,infibeam Result Data,infibeam Result Data,30,http://www.infibeam.com/Mobiles/search?page=2,Intex Aqua 4G Plus (White),Rs. 8080
,31,infibeam Result Data,infibeam Result Data,31,http://www.infibeam.com/Mobiles/search?page=2,Sony Xperia C5 Ultra Dual (Black),Rs. 26769
,32,infibeam Result Data,infibeam Result Data,32,http://www.infibeam.com/Mobiles/search?page=2,Sony Xperia C5 Ultra Dual (White),Rs. 26769
,33,infibeam Result Data,infibeam Result Data,33,http://www.infibeam.com/Mobiles/search?page=2,Microsoft Lumia 640 XL Dual Sim (White),Rs. 15148
,34,infibeam Result Data,infibeam Result Data,34,http://www.infibeam.com/Mobiles/search?page=2,Micromax Canvas Fire 4G Q411 (Grey),Rs. 6299
,35,infibeam Result Data,infibeam Result Data,35,http://www.infibeam.com/Mobiles/search?page=2,Micromax Bolt A24 (Black),Rs. 1969
,36,infibeam Result Data,infibeam Result Data,36,http://www.infibeam.com/Mobiles/search?page=2,Xiaomi Mi 4 16GB Unboxed (White),Rs. 11699
,37,infibeam Result Data,infibeam Result Data,37,http://www.infibeam.com/Mobiles/search?page=2,Micromax Canvas Spark Unboxed (Black),Rs. 4269
,38,infibeam Result Data,infibeam Result Data,38,http://www.infibeam.com/Mobiles/search?page=2,ZTE Blade Buzz V815W (White),Rs. 2449
,39,infibeam Result Data,infibeam Result Data,39,http://www.infibeam.com/Mobiles/search?page=2,Micromax Canvas Nitro 4G E455 (Black),Rs. 9729
,40,infibeam Result Data,infibeam Result Data,40,http://www.infibeam.com/Mobiles/search?page=2,HTC Desire 326G Dual Sim (White),Rs. 8415
,41,infibeam Result Data,infibeam Result Data,41,http://www.infibeam.com/Mobiles/search?page=3,HTC Desire 326G Dual Sim (Black),Rs. 8415
,42,infibeam Result Data,infibeam Result Data,42,http://www.infibeam.com/Mobiles/search?page=3,Micromax Yureka Unboxed (Grey),Rs. 8169
,43,infibeam Result Data,infibeam Result Data,43,http://www.infibeam.com/Mobiles/search?page=3,Nokia 130 Dual Sim (Black),Rs. 1681
,44,infibeam Result Data,infibeam Result Data,44,http://www.infibeam.com/Mobiles/search?page=3,Samsung Galaxy J2 (White),Rs. 8499
,45,infibeam Result Data,infibeam Result Data,45,http://www.infibeam.com/Mobiles/search?page=3,Samsung Galaxy J2 (Black),Rs. 8499
,46,infibeam Result Data,infibeam Result Data,46,http://www.infibeam.com/Mobiles/search?page=3,Samsung Galaxy J2 (Gold),Rs. 8499
,47,infibeam Result Data,infibeam Result Data,47,http://www.infibeam.com/Mobiles/search?page=3,Videocon V1520 (Black Red),Rs. 829
,48,infibeam Result Data,infibeam Result Data,48,http://www.infibeam.com/Mobiles/search?page=3,Apple iPhone 4S Unboxed (Black) 8GB,Rs. 10569
,49,infibeam Result Data,infibeam Result Data,49,http://www.infibeam.com/Mobiles/search?page=3,Apple iPhone 4S Unboxed (White) 8GB,Rs. 10569
,50,infibeam Result Data,infibeam Result Data,50,http://www.infibeam.com/Mobiles/search?page=3,Samsung Galaxy A5 (White),Rs. 20900
,51,infibeam Result Data,infibeam Result Data,51,http://www.infibeam.com/Mobiles/search?page=3,Samsung Galaxy A5 (Black),Rs. 20900
,52,infibeam Result Data,infibeam Result Data,52,http://www.infibeam.com/Mobiles/search?page=3,Micromax Canvas Sliver 5 (Black),Rs. 17339
,53,infibeam Result Data,infibeam Result Data,53,http://www.infibeam.com/Mobiles/search?page=3,Micromax Canvas Sliver 5 Q450 (White Champagne),Rs. 17199
,54,infibeam Result Data,infibeam Result Data,54,http://www.infibeam.com/Mobiles/search?page=3,OnePlus One 64gb Unboxed (Sand Stone Black),Rs. 16835
,55,infibeam Result Data,infibeam Result Data,55,http://www.infibeam.com/Mobiles/search?page=3,Sony Xperia Z3 Plus (Aqua Green),Rs. 38499
,56,infibeam Result Data,infibeam Result Data,56,http://www.infibeam.com/Mobiles/search?page=3,Sony Xperia Z3 Plus (Black),Rs. 38499
,57,infibeam Result Data,infibeam Result Data,57,http://www.infibeam.com/Mobiles/search?page=3,Sony Xperia Z3 Plus (Copper),Rs. 38499
,58,infibeam Result Data,infibeam Result Data,58,http://www.infibeam.com/Mobiles/search?page=3,Sony Xperia Z3 Plus (White),Rs. 38499
,59,infibeam Result Data,infibeam Result Data,59,http://www.infibeam.com/Mobiles/search?page=3,Micromax X805 (Black),Rs. 1093
,60,infibeam Result Data,infibeam Result Data,60,http://www.infibeam.com/Mobiles/search?page=3,Apple iPhone 6 Plus (Gold) (64 GB),Rs. 74000
,61,infibeam Result Data,infibeam Result Data,61,http://www.infibeam.com/Mobiles/search?page=4,Apple iPhone 6 Plus (Silver) (64 GB),Rs. 74000
,62,infibeam Result Data,infibeam Result Data,62,http://www.infibeam.com/Mobiles/search?page=4,Apple iPhone 6 Plus (Silver) (128 GB),Rs. 83000
,63,infibeam Result Data,infibeam Result Data,63,http://www.infibeam.com/Mobiles/search?page=4,Apple iPhone 6 Plus (Silver) (16 GB),Rs. 65000
,64,infibeam Result Data,infibeam Result Data,64,http://www.infibeam.com/Mobiles/search?page=4,Apple iPhone 6 Plus (Space Grey) (64 GB),Rs. 74000
,65,infibeam Result Data,infibeam Result Data,65,http://www.infibeam.com/Mobiles/search?page=4,Apple iPhone 6 Plus (Space Grey) (16 GB),Rs. 65000
,66,infibeam Result Data,infibeam Result Data,66,http://www.infibeam.com/Mobiles/search?page=4,Apple iPhone 6 Plus (Gold) (16 GB),Rs. 65000
