_input,_num,_widgetName,_source,_resultNumber,_pageUrl,name,price
,1,mobilestore Result Data,mobilestore Result Data,1,http://www.themobilestore.in/catalogsearch/result/index/?dir=asc&order=saleability&p=2&q=mobiles,Samsung Grand Prime 4G- Grey 9900.0000 InStock Samsung Grand Prime 4G- Grey Rs.9900.00 Secondary Camera GSM Enabled Expandable Memory GPRS Enabled BUY NOW,Rs.9900.00
,2,mobilestore Result Data,mobilestore Result Data,2,http://www.themobilestore.in/catalogsearch/result/index/?dir=asc&order=saleability&p=2&q=mobiles,Nokia 108- Black 1899.0000 InStock Nokia 108- Black Rs.1899.00 GSM Enabled Music Player Video Player Rear Camera BUY NOW,Rs.1899.00
,3,mobilestore Result Data,mobilestore Result Data,3,http://www.themobilestore.in/catalogsearch/result/index/?dir=asc&order=saleability&p=2&q=mobiles,Microsoft Lumia 640 XL (Dual Sim) - Black 15499.0000 InStock Microsoft Lumia 640 XL (Dual Sim) - Black Rs.15499.00 Secondary Camera Touch Screen GSM Enabled Expandable Memory BUY NOW,Rs.15499.00
,4,mobilestore Result Data,mobilestore Result Data,4,http://www.themobilestore.in/catalogsearch/result/index/?dir=asc&order=saleability&p=2&q=mobiles,Nokia 215 Dual Sim - White 2299.0000 InStock Nokia 215 Dual Sim - White Rs.2299.00 GSM Enabled GPRS Enabled Music Player Video Player BUY NOW,Rs.2299.00
,5,mobilestore Result Data,mobilestore Result Data,5,http://www.themobilestore.in/catalogsearch/result/index/?dir=asc&order=saleability&p=2&q=mobiles,PreBook - Nexus 6P (64 GB) - Silver 1000.0000 InStock PreBook - Nexus 6P (64 GB) - Silver Rs.1000.00 PRE BOOK,Rs.1000.00
,6,mobilestore Result Data,mobilestore Result Data,6,http://www.themobilestore.in/catalogsearch/result/index/?dir=asc&order=saleability&p=2&q=mobiles,Microsoft Lumia 540 (Dual Sim) - Black 9999.0000 InStock Microsoft Lumia 540 (Dual Sim) - Black Rs.9999.00 Secondary Camera Touch Screen GSM Enabled Expandable Memory BUY NOW,Rs.9999.00
,7,mobilestore Result Data,mobilestore Result Data,7,http://www.themobilestore.in/catalogsearch/result/index/?dir=asc&order=saleability&p=2&q=mobiles,Samsung Galaxy A7 - Gold 23990.0000 InStock Samsung Galaxy A7 - Gold Rs.23990.00 Secondary Camera Touch Screen GSM Enabled Music Player BUY NOW,Rs.23990.00
,8,mobilestore Result Data,mobilestore Result Data,8,http://www.themobilestore.in/catalogsearch/result/index/?dir=asc&order=saleability&p=2&q=mobiles,Microsoft Lumia 640 XL (Dual Sim) - White 15499.0000 InStock Microsoft Lumia 640 XL (Dual Sim) - White Rs.15499.00 Secondary Camera Touch Screen GSM Enabled Expandable Memory BUY NOW,Rs.15499.00
,9,mobilestore Result Data,mobilestore Result Data,9,http://www.themobilestore.in/catalogsearch/result/index/?dir=asc&order=saleability&p=2&q=mobiles,Samsung Galaxy E5 - White 14900.0000 InStock Samsung Galaxy E5 - White Rs.14900.00 Secondary Camera Touch Screen GSM Enabled GPRS Enabled BUY NOW,Rs.14900.00
,10,mobilestore Result Data,mobilestore Result Data,10,http://www.themobilestore.in/catalogsearch/result/index/?dir=asc&order=saleability&p=2&q=mobiles,Samsung Galaxy J2 - White 8499.0000 InStock Samsung Galaxy J2 - White Rs.8499.00 BUY NOW,Rs.8499.00
,11,mobilestore Result Data,mobilestore Result Data,11,http://www.themobilestore.in/catalogsearch/result/index/?dir=asc&order=saleability&p=2&q=mobiles,HTC Desire 626G+ (Dual Sim) - White 16699.000014749.0000 InStock HTC Desire 626G+ (Dual Sim) - White Special Offer Price : Rs.16699.00 BUY NOW,Rs.16699.00
