_input,_num,_widgetName,_source,_resultNumber,_pageUrl,name,price,image,image/_source,image/_title,image/_alt
,1,shopclues Result Data,shopclues Result Data,1,http://www.shopclues.com/index.php?subcats=Y&status=A&pname=Y&product_code=Y&match=all&pkeywords=Y&z=1&q=smartphones&auto_suggest=0&cid=0&dispatch=products.search&search_performed=Y&category=category_id%3A28970&cid=28970,Xiaomi Redmi Note 4G - White - (6 Months Brand Warranty),7999,,,,
,2,shopclues Result Data,shopclues Result Data,2,http://www.shopclues.com/index.php?subcats=Y&status=A&pname=Y&product_code=Y&match=all&pkeywords=Y&z=1&q=smartphones&auto_suggest=0&cid=0&dispatch=products.search&search_performed=Y&category=category_id%3A28970&cid=28970,Samsung 9060 Galaxy Grand Neo Plus-(6 Months Brand Warranty),7499,,,,
,3,shopclues Result Data,shopclues Result Data,3,http://www.shopclues.com/index.php?subcats=Y&status=A&pname=Y&product_code=Y&match=all&pkeywords=Y&z=1&q=smartphones&auto_suggest=0&cid=0&dispatch=products.search&search_performed=Y&category=category_id%3A28970&cid=28970,Samsung Galaxy Tab 3 Neo Tablet-(6 Months Brand Warranty),7049,,,,
,4,shopclues Result Data,shopclues Result Data,4,http://www.shopclues.com/index.php?subcats=Y&status=A&pname=Y&product_code=Y&match=all&pkeywords=Y&z=1&q=smartphones&auto_suggest=0&cid=0&dispatch=products.search&search_performed=Y&category=category_id%3A28970&cid=28970,OnePlus One (64GB Sandstone Black) - (Unboxed),17500,,,,
,5,shopclues Result Data,shopclues Result Data,5,http://www.shopclues.com/index.php?subcats=Y&status=A&pname=Y&product_code=Y&match=all&pkeywords=Y&z=1&q=smartphones&auto_suggest=0&cid=0&dispatch=products.search&search_performed=Y&category=category_id%3A28970&cid=28970,Samsung Galaxy Tab 2 P3110 - White - (6 Months Brand Warranty),6779,,,,
,6,shopclues Result Data,shopclues Result Data,6,http://www.shopclues.com/index.php?subcats=Y&status=A&pname=Y&product_code=Y&match=all&pkeywords=Y&z=1&q=smartphones&auto_suggest=0&cid=0&dispatch=products.search&search_performed=Y&category=category_id%3A28970&cid=28970,Samsung Galaxy S Duos 2 GT-S7582 - White - (6 Months Brand Warranty),5969,,,,
,7,shopclues Result Data,shopclues Result Data,7,http://www.shopclues.com/index.php?subcats=Y&status=A&pname=Y&product_code=Y&match=all&pkeywords=Y&z=1&q=smartphones&auto_suggest=0&cid=0&dispatch=products.search&search_performed=Y&category=category_id%3A28970&cid=28970,Asus Zenfone 4 8 GB with Soda Lime Glass - (6 Months Brand Warranty),5890,,,,
,8,shopclues Result Data,shopclues Result Data,8,http://www.shopclues.com/index.php?subcats=Y&status=A&pname=Y&product_code=Y&match=all&pkeywords=Y&z=1&q=smartphones&auto_suggest=0&cid=0&dispatch=products.search&search_performed=Y&category=category_id%3A28970&cid=28970,Samsung P1010 Galaxy Tab Wi-Fi - 6 Months warranty,9499,,,,
,9,shopclues Result Data,shopclues Result Data,9,http://www.shopclues.com/index.php?subcats=Y&status=A&pname=Y&product_code=Y&match=all&pkeywords=Y&z=1&q=smartphones&auto_suggest=0&cid=0&dispatch=products.search&search_performed=Y&category=category_id%3A28970&cid=28970,YNew Certified Micromax Canvas Doodle A111 (4GB White) - (6....,7449,,,,
,10,shopclues Result Data,shopclues Result Data,10,http://www.shopclues.com/index.php?subcats=Y&status=A&pname=Y&product_code=Y&match=all&pkeywords=Y&z=1&q=smartphones&auto_suggest=0&cid=0&dispatch=products.search&search_performed=Y&category=category_id%3A28970&cid=28970,YNew Certified Micromax Canvas Magnus A117 (4GB Blue) - (6 months....,9149,,,,
,11,shopclues Result Data,shopclues Result Data,11,http://www.shopclues.com/index.php?subcats=Y&status=A&pname=Y&product_code=Y&match=all&pkeywords=Y&z=1&q=smartphones&auto_suggest=0&cid=0&dispatch=products.search&search_performed=Y&category=category_id%3A28970&cid=28970,YNew Certified Micromax Canvas A110Q (4GB Black) - (6 months....,6549,,,,
,12,shopclues Result Data,shopclues Result Data,12,http://www.shopclues.com/index.php?subcats=Y&status=A&pname=Y&product_code=Y&match=all&pkeywords=Y&z=1&q=smartphones&auto_suggest=0&cid=0&dispatch=products.search&search_performed=Y&category=category_id%3A28970&cid=28970,YNew Certified Karbonn Titanium S9 (4GB White) - (6 months Brand....,7149,,,,
,13,shopclues Result Data,shopclues Result Data,13,http://www.shopclues.com/index.php?subcats=Y&status=A&pname=Y&product_code=Y&match=all&pkeywords=Y&z=1&q=smartphones&auto_suggest=0&cid=0&dispatch=products.search&search_performed=Y&category=category_id%3A28970&cid=28970,Microsoft Lumia 535 - (6 Months Brand Warranty),6599,,,,
,14,shopclues Result Data,shopclues Result Data,14,http://www.shopclues.com/index.php?subcats=Y&status=A&pname=Y&product_code=Y&match=all&pkeywords=Y&z=1&q=smartphones&auto_suggest=0&cid=0&dispatch=products.search&search_performed=Y&category=category_id%3A28970&cid=28970,Samsung Galaxy J1 - (6 Month Brand Warranty) 6 Months Brand Warranty,5499,,,,
,15,shopclues Result Data,shopclues Result Data,15,http://www.shopclues.com/index.php?subcats=Y&status=A&pname=Y&product_code=Y&match=all&pkeywords=Y&z=1&q=smartphones&auto_suggest=0&cid=0&dispatch=products.search&search_performed=Y&category=category_id%3A28970&cid=28970,Microsoft Lumia 535 - (6 Months Brand Warranty),5399,,,,
,16,shopclues Result Data,shopclues Result Data,16,http://www.shopclues.com/index.php?subcats=Y&status=A&pname=Y&product_code=Y&match=all&pkeywords=Y&z=1&q=smartphones&auto_suggest=0&cid=0&dispatch=products.search&search_performed=Y&category=category_id%3A28970&cid=28970,Ambrane A3 770 3G - (6 Months Brand Warranty),3499,,,,
,17,shopclues Result Data,shopclues Result Data,17,http://www.shopclues.com/index.php?subcats=Y&status=A&pname=Y&product_code=Y&match=all&pkeywords=Y&z=1&q=smartphones&auto_suggest=0&cid=0&dispatch=products.search&search_performed=Y&category=category_id%3A28970&cid=28970,Samsung T531 Tab 4 Tablet (6 Months Brand Warranty),21499,,,,
